InstrumentID,Price,IsBuy,Timestamp
5,100.792,Buy,1758149553146460300
8,198.811,Buy,1758149553146474800
4,179.691,Buy,1758149553146480600
5,134.213,Buy,1758149553146482100
0,185.897,Buy,1758149553146485700
5,177.211,Buy,1758149553146489600
0,191.615,Buy,1758149553146493000
1,182.021,Buy,1758149553146494000
2,129.204,Buy,1758149553146494900
3,129.849,Buy,1758149553146496600
4,167.655,Sell,1758149553146497500
5,105.398,Buy,1758149553146498500
6,149.77,Sell,1758149553146499400
7,140.256,Sell,1758149553146500300
8,131.102,Buy,1758149553146502000
9,124.137,Buy,1758149553146502900
0,129.707,Buy,1758149553146503800
2,135.214,Buy,1758149553146509600
3,166.044,Sell,1758149553146510500
4,180.575,Buy,1758149553146511400
5,121.418,Buy,1758149553146512300
6,151.143,Sell,1758149553146513100
7,101.213,Buy,1758149553146514000
8,115.903,Buy,1758149553146514800
9,108.771,Buy,1758149553146515700
0,153.514,Buy,1758149553146516500
1,112.599,Buy,1758149553146517200
2,103.533,Buy,1758149553146519700
3,101.452,Buy,1758149553146520600
4,122.041,Buy,1758149553146521500
5,184.819,Buy,1758149553146522500
6,189.164,Buy,1758149553146523400
7,166.907,Sell,1758149553146524400
8,181.324,Sell,1758149553146531100
9,142.385,Sell,1758149553146532100
0,121.829,Buy,1758149553146533200
1,100.334,Buy,1758149553146534200
2,126.774,Buy,1758149553146535200
3,189.674,Sell,1758149553146536200
4,135.126,Buy,1758149553146537100
5,165.821,Sell,1758149553146538200
6,157.261,Sell,1758149553146539100
7,175.768,Buy,1758149553146540000
8,120.006,Buy,1758149553146541100
9,153.861,Buy,1758149553146542000
0,104.541,Buy,1758149553146543800
1,129.153,Buy,1758149553146545100
2,101.099,Buy,1758149553146546300
3,109.021,Buy,1758149553146547500
4,126.521,Buy,1758149553146548600
6,104.316,Buy,1758149553146550900
7,179.442,Buy,1758149553146552100
9,169.783,Buy,1758149553146555000
1,198.098,Buy,1758149553146557000
2,141.042,Sell,1758149553146558000
3,174.245,Sell,1758149553146559100
4,186.677,Sell,1758149553146560000
5,119.702,Buy,1758149553146561100
6,130.12,Buy,1758149553146562100
7,167.465,Sell,1758149553146563200
8,161.097,Buy,1758149553146564200
9,184.801,Buy,1758149553146565200
0,100.54,Buy,1758149553146566500
1,129.592,Buy,1758149553146567700
2,197.661,Buy,1758149553146568900
3,108.756,Buy,1758149553146577100
4,175.542,Sell,1758149553146578400
5,133.295,Buy,1758149553146579600
6,162.899,Buy,1758149553146580700
7,198.648,Buy,1758149553146581900
8,157.447,Sell,1758149553146583000
9,156.691,Sell,1758149553146584100
0,112.478,Buy,1758149553146585300
1,129.235,Buy,1758149553146586400
2,145.153,Sell,1758149553146587500
3,182.701,Sell,1758149553146588500
4,168.759,Sell,1758149553146589600
5,111.428,Buy,1758149553146590600
6,107.252,Buy,1758149553146591700
7,119.864,Buy,1758149553146592800
8,150.063,Sell,1758149553146593900
9,111.059,Buy,1758149553146594900
0,186.672,Buy,1758149553146596100
1,116.549,Buy,1758149553146597200
2,116.495,Buy,1758149553146598200
3,120.871,Buy,1758149553146599300
4,197.546,Buy,1758149553146600300
5,178.71,Sell,1758149553146601400
6,131.076,Buy,1758149553146604200
7,107.196,Buy,1758149553146605300
8,100.885,Buy,1758149553146606500
9,113.349,Buy,1758149553146607600
0,166.415,Sell,1758149553146608900
1,128.607,Buy,1758149553146610000
2,101.64,Buy,1758149553146611100
3,164.669,Sell,1758149553146612200
4,167.85,Sell,1758149553146613400
5,158.334,Sell,1758149553146614500
6,178.831,Buy,1758149553146615600
7,115.915,Buy,1758149553146616700
8,164.489,Sell,1758149553146617800
9,152.062,Buy,1758149553146618900
1,188.04,Buy,1758149553146621000
2,147.371,Sell,1758149553146622200
3,100.666,Buy,1758149553146623300
4,130.396,Buy,1758149553146624400
5,113.238,Buy,1758149553146625400
6,159.153,Sell,1758149553146626500
7,124.524,Buy,1758149553146627600
8,109.822,Buy,1758149553146628700
9,197.992,Buy,1758149553146629800
0,159.347,Sell,1758149553146630800
1,106.534,Buy,1758149553146631900
2,199.587,Buy,1758149553146633000
3,172.788,Sell,1758149553146634000
4,184.29,Sell,1758149553146635000
6,116.839,Buy,1758149553146637100
7,142.536,Buy,1758149553146638200
8,158.118,Sell,1758149553146639200
9,160.444,Sell,1758149553146640300
1,149.021,Sell,1758149553146642300
2,105.523,Buy,1758149553146643300
3,105.431,Buy,1758149553146644400
4,176.786,Sell,1758149553146645500
5,102.27,Buy,1758149553146646600
6,184.222,Sell,1758149553146647600
7,108.322,Buy,1758149553146648700
8,183.171,Buy,1758149553146649800
9,104.08,Buy,1758149553146650800
0,117.369,Buy,1758149553146662000
2,152.985,Sell,1758149553146664200
3,130.47,Buy,1758149553146665300
4,142.623,Buy,1758149553146666500
5,113.92,Buy,1758149553146667600
6,107.425,Buy,1758149553146668800
7,126.675,Buy,1758149553146669900
8,129.409,Buy,1758149553146670900
9,168.148,Sell,1758149553146672000
0,152.973,Sell,1758149553146673100
1,134.748,Buy,1758149553146674100
2,183.045,Buy,1758149553146675200
3,171.656,Buy,1758149553146676300
4,104.26,Buy,1758149553146677100
5,141.837,Buy,1758149553146678200
6,123.081,Buy,1758149553146679300
7,159.116,Buy,1758149553146680300
8,142.417,Buy,1758149553146681400
9,114.824,Buy,1758149553146682400
0,178.425,Buy,1758149553146685300
1,151.053,Sell,1758149553146686700
2,142.776,Buy,1758149553146687800
3,196.756,Buy,1758149553146689000
4,165.847,Sell,1758149553146690000
5,118.713,Buy,1758149553146691200
6,105.649,Buy,1758149553146692300
7,100.117,Buy,1758149553146693400
8,109.082,Buy,1758149553146694400
0,107.781,Buy,1758149553146696400
1,107.426,Buy,1758149553146697400
2,101.805,Buy,1758149553146699600
3,181.073,Sell,1758149553146700500
4,119.242,Buy,1758149553146701400
5,176.155,Sell,1758149553146702300
6,188.579,Sell,1758149553146703200
7,179.73,Sell,1758149553146704100
8,148.908,Sell,1758149553146705100
9,146.59,Buy,1758149553146705900
0,127.89,Buy,1758149553146706900
1,195.935,Buy,1758149553146707800
2,132.775,Buy,1758149553146708700
3,128.017,Buy,1758149553146709600
4,165.243,Sell,1758149553146710500
5,180.416,Buy,1758149553146711400
6,184.218,Sell,1758149553146713800
7,198.435,Buy,1758149553146714900
8,132.531,Buy,1758149553146715800
9,172.817,Buy,1758149553146716700
0,164.083,Buy,1758149553146717600
1,137.632,Buy,1758149553146718500
2,144.063,Buy,1758149553146719400
3,155.843,Sell,1758149553146720300
4,142.772,Buy,1758149553146721200
6,139.839,Buy,1758149553146722900
8,180.329,Sell,1758149553146724600
9,196.977,Buy,1758149553146725500
0,169.006,Buy,1758149553146726400
1,194.86,Sell,1758149553146727300
2,164.704,Buy,1758149553146728100
3,104.048,Buy,1758149553146729000
4,139.691,Buy,1758149553146729900
6,170.677,Sell,1758149553146731600
7,156.709,Sell,1758149553146732500
8,130.728,Buy,1758149553146733400
9,108.27,Buy,1758149553146734300
0,124.236,Buy,1758149553146735200
1,141.789,Buy,1758149553146736100
2,132.02,Buy,1758149553146737000
3,124.891,Buy,1758149553146737800
4,131.434,Buy,1758149553146738700
5,165.463,Sell,1758149553146739600
6,184.797,Buy,1758149553146740500
7,166.161,Buy,1758149553146741400
8,168.807,Sell,1758149553146742300
0,112.117,Buy,1758149553146744000
1,125.942,Buy,1758149553146744900
3,129.706,Buy,1758149553146746600
4,158.758,Sell,1758149553146748900
5,182.899,Buy,1758149553146749900
6,141.166,Buy,1758149553146750900
7,183.351,Buy,1758149553146751800
9,176.927,Buy,1758149553146753700
0,189.151,Sell,1758149553146754600
1,190.497,Sell,1758149553146755500
2,153.163,Buy,1758149553146756400
3,154.366,Buy,1758149553146757300
4,125.398,Buy,1758149553146758300
5,170.203,Sell,1758149553146759300
7,145.186,Buy,1758149553146761000
8,155.338,Sell,1758149553146761900
9,121.927,Buy,1758149553146762800
0,163.463,Sell,1758149553146763700
1,122.185,Buy,1758149553146764700
3,192.236,Buy,1758149553146766400
4,189.433,Sell,1758149553146767300
5,131.667,Buy,1758149553146768200
6,164.657,Buy,1758149553146769100
7,101.098,Buy,1758149553146770000
8,157.566,Buy,1758149553146770900
9,158.5,Sell,1758149553146771800
0,176.783,Sell,1758149553146772700
1,185.631,Sell,1758149553146773600
2,128.479,Buy,1758149553146774500
3,189.403,Sell,1758149553146775400
4,123.108,Buy,1758149553146776300
5,145.4,Buy,1758149553146777200
6,138.014,Buy,1758149553146778100
8,151.621,Sell,1758149553146779800
9,131.448,Buy,1758149553146780800
0,193.676,Buy,1758149553146781600
2,164.959,Sell,1758149553146783400
3,119.936,Buy,1758149553146784300
4,116.115,Buy,1758149553146785200
5,160.109,Buy,1758149553146786100
6,119.874,Buy,1758149553146787000
7,175.686,Buy,1758149553146787900
8,117.049,Buy,1758149553146788800
9,131.362,Buy,1758149553146789700
0,129.5,Buy,1758149553146790700
2,197.498,Buy,1758149553146792400
3,173.079,Sell,1758149553146793400
4,136.026,Buy,1758149553146794300
5,149.078,Buy,1758149553146795200
6,140.955,Buy,1758149553146796100
7,192.302,Buy,1758149553146797000
8,185.483,Sell,1758149553146797900
0,152.933,Buy,1758149553146799700
1,128.19,Buy,1758149553146800600
2,140.324,Buy,1758149553146821600
3,156.306,Sell,1758149553146822600
4,197.901,Buy,1758149553146823600
5,198.511,Buy,1758149553146824600
6,153.697,Buy,1758149553146825600
7,110.483,Buy,1758149553146826600
9,194.203,Buy,1758149553146830000
0,107.833,Buy,1758149553146831100
1,184.818,Sell,1758149553146832100
2,133.515,Buy,1758149553146833200
3,184.644,Sell,1758149553146834400
4,164.538,Sell,1758149553146835600
5,132.739,Buy,1758149553146836600
6,161.099,Buy,1758149553146837600
7,195.128,Buy,1758149553146838700
8,189.181,Sell,1758149553146839900
9,163.589,Sell,1758149553146841100
0,195.309,Buy,1758149553146842200
1,123.129,Buy,1758149553146843300
2,113.111,Buy,1758149553146844500
3,151.346,Buy,1758149553146845500
4,111.249,Buy,1758149553146846700
5,188.461,Sell,1758149553146847900
6,124.132,Buy,1758149553146849000
7,132.377,Buy,1758149553146850000
8,195.057,Buy,1758149553146851200
9,109.465,Buy,1758149553146852300
0,134.286,Buy,1758149553146853400
1,139.002,Buy,1758149553146854500
2,135.344,Buy,1758149553146855600
3,180.457,Sell,1758149553146856700
4,124.527,Buy,1758149553146857800
5,179.166,Sell,1758149553146859100
6,152.887,Sell,1758149553146860200
7,110.061,Buy,1758149553146861200
8,104.018,Buy,1758149553146862300
9,106.913,Buy,1758149553146863300
0,184.004,Sell,1758149553146864300
1,147.924,Buy,1758149553146865400
2,100.822,Buy,1758149553146866500
3,115.43,Buy,1758149553146867500
4,138.807,Buy,1758149553146868500
5,150.917,Buy,1758149553146869600
6,135.01,Buy,1758149553146872100
8,167.018,Sell,1758149553146874400
9,113.425,Buy,1758149553146875400
0,164.941,Sell,1758149553146876500
1,185.823,Buy,1758149553146877600
2,100.539,Buy,1758149553146878600
3,199.706,Buy,1758149553146879700
4,186.497,Buy,1758149553146880900
5,192.666,Sell,1758149553146882000
6,153.374,Sell,1758149553146883100
7,108.649,Buy,1758149553146884200
8,172.141,Buy,1758149553146885300
9,149.444,Buy,1758149553146886500
0,189.032,Sell,1758149553146887600
1,190.92,Buy,1758149553146888700
